GalaxyName,Class,NPoints,RMSLogResidual_S_tau1,RMSLogResidual_RadialRule,DeltaRMS_RadialMinusS1,FractionPointsImproved,InterpretationGuardrail
CamB,A,9,0.963585354,0.988438267,0.024852914,0.333333333,radial_rule_vs_s_tau1_no_refit
DDO154,A,12,0.138812043,0.125190014,-0.013622029,0.916666667,radial_rule_vs_s_tau1_no_refit
ESO079-G014,A,15,0.116776750,0.103723233,-0.013053517,0.866666667,radial_rule_vs_s_tau1_no_refit
ESO116-G012,A,15,0.118484000,0.090380758,-0.028103242,0.733333333,radial_rule_vs_s_tau1_no_refit
IC2574,C,34,0.221285273,0.145710067,-0.075575206,0.970588235,radial_rule_vs_s_tau1_no_refit
NGC0055,C,21,0.204516691,0.123692563,-0.080824127,1.000000000,radial_rule_vs_s_tau1_no_refit
NGC1705,C,14,0.354417124,0.428871117,0.074453994,0.000000000,radial_rule_vs_s_tau1_no_refit
NGC2366,C,26,0.250878782,0.185608110,-0.065270672,1.000000000,radial_rule_vs_s_tau1_no_refit
NGC2403,A,73,0.084927450,0.069436819,-0.015490631,0.575342466,radial_rule_vs_s_tau1_no_refit
NGC2976,C,27,0.239111156,0.172618156,-0.066493001,0.740740741,radial_rule_vs_s_tau1_no_refit
NGC3109,C,25,0.175872323,0.225221281,0.049348958,0.120000000,radial_rule_vs_s_tau1_no_refit
NGC3198,A,43,0.156224675,0.157623854,0.001399179,0.255813953,radial_rule_vs_s_tau1_no_refit
NGC3741,C,21,0.204417802,0.262826254,0.058408452,0.095238095,radial_rule_vs_s_tau1_no_refit
NGC3917,A,17,0.143599279,0.142262696,-0.001336583,0.470588235,radial_rule_vs_s_tau1_no_refit
NGC3972,A,10,0.101666125,0.091593164,-0.010072960,0.700000000,radial_rule_vs_s_tau1_no_refit
NGC4183,A,23,0.067793847,0.102670794,0.034876947,0.043478261,radial_rule_vs_s_tau1_no_refit
NGC4559,A,32,0.133934387,0.156262494,0.022328106,0.312500000,radial_rule_vs_s_tau1_no_refit
NGC5055,C,28,0.117536440,0.059254773,-0.058281667,1.000000000,radial_rule_vs_s_tau1_no_refit
NGC5585,A,24,0.173858302,0.158805909,-0.015052393,0.708333333,radial_rule_vs_s_tau1_no_refit
NGC6503,A,31,0.072498888,0.046293545,-0.026205343,0.774193548,radial_rule_vs_s_tau1_no_refit
NGC7331,A,36,0.098042629,0.102205311,0.004162682,0.666666667,radial_rule_vs_s_tau1_no_refit
UGC00128,A,22,0.138644793,0.127654823,-0.010989970,0.636363636,radial_rule_vs_s_tau1_no_refit
UGC00191,A,9,0.124355655,0.142139634,0.017783979,0.222222222,radial_rule_vs_s_tau1_no_refit
UGC00731,C,12,0.339703404,0.417277256,0.077573852,0.333333333,radial_rule_vs_s_tau1_no_refit
UGC02455,C,8,0.793075495,0.736846615,-0.056228880,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC03580,C,47,0.280295924,0.248078656,-0.032217268,0.829787234,radial_rule_vs_s_tau1_no_refit
UGC04305,C,22,0.595364088,0.524986646,-0.070377441,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC04325,C,8,0.284250470,0.357899279,0.073648809,0.000000000,radial_rule_vs_s_tau1_no_refit
UGC04499,C,9,0.137445117,0.093823467,-0.043621650,0.888888889,radial_rule_vs_s_tau1_no_refit
UGC05253,C,73,0.080485986,0.107940070,0.027454084,0.356164384,radial_rule_vs_s_tau1_no_refit
UGC05716,A,12,0.113234578,0.102397318,-0.010837261,0.666666667,radial_rule_vs_s_tau1_no_refit
UGC05764,A,10,0.329468407,0.306018699,-0.023449708,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC05829,C,11,0.138511883,0.193112842,0.054600959,0.545454545,radial_rule_vs_s_tau1_no_refit
UGC05918,C,8,0.142410680,0.228471044,0.086060364,0.125000000,radial_rule_vs_s_tau1_no_refit
UGC06446,C,17,0.194477923,0.267062989,0.072585065,0.000000000,radial_rule_vs_s_tau1_no_refit
UGC06818,C,8,0.308337983,0.231036887,-0.077301096,0.500000000,radial_rule_vs_s_tau1_no_refit
UGC06917,C,11,0.071490065,0.138970432,0.067480368,0.090909091,radial_rule_vs_s_tau1_no_refit
UGC06973,C,9,0.212731609,0.198370406,-0.014361202,0.777777778,radial_rule_vs_s_tau1_no_refit
UGC07323,C,10,0.146477568,0.071490221,-0.074987347,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC07399,C,10,0.397297610,0.474511064,0.077213454,0.000000000,radial_rule_vs_s_tau1_no_refit
UGC07577,C,9,0.654467132,0.568069536,-0.086397596,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC07603,C,12,0.180772564,0.219342226,0.038569662,0.166666667,radial_rule_vs_s_tau1_no_refit
UGC08490,C,30,0.186480832,0.256386253,0.069905421,0.000000000,radial_rule_vs_s_tau1_no_refit
UGC08837,C,8,0.439660118,0.350247766,-0.089412352,1.000000000,radial_rule_vs_s_tau1_no_refit
UGC12632,C,15,0.105256889,0.180554650,0.075297761,0.333333333,radial_rule_vs_s_tau1_no_refit
