GalaxyName,PublishedName,CurrentStatus,HasLocalSparcRotmod,CurrentScoreStatus,LiteratureStatus,PrimarySource,SourceURL,AcquisitionClass,Blocker,AllowedNextUse,InterpretationGuardrail
NGC925,NGC 925,missing_local_sparc_rotmod,no,excluded_no_rotmod,THINGS rotation curve exists; compatible baryonic components not present locally,de_Blok_etal_2008_THINGS_mass_models,https://arxiv.org/abs/0810.2100,possible_if_THINGS_mass_model_tables_are_recovered,"need Vgas,Vdisk,Vbul or equivalent baryonic mass model on the rotation-curve grid",score_only_if_public_mass_model_columns_are_recovered_and_conversion_rule_is_frozen,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC2366,NGC 2366,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC2403,NGC 2403,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC2841,NGC 2841,already_resolved,yes,newly_scored_from_rotmod,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC2903,NGC 2903,already_resolved,yes,newly_scored_from_rotmod,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC2976,NGC 2976,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC3031,NGC 3031,missing_local_sparc_rotmod,no,excluded_no_rotmod,THINGS Table 3 object; no local SPARC rotmod and no recovered compatible mass-model table,de_Blok_etal_2008_THINGS_mass_models,https://arxiv.org/abs/0810.2100,possible_if_THINGS_mass_model_tables_are_recovered,need compatible baryonic decomposition; do not infer from image data in this packet,score_only_if_public_mass_model_columns_are_recovered_and_conversion_rule_is_frozen,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC3198,NGC 3198,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
IC2574,IC 2574,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC3521,NGC 3521,already_resolved,yes,newly_scored_from_rotmod,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC3621,NGC 3621,missing_local_sparc_rotmod,no,excluded_no_rotmod,"external HI rotation-curve literature exists, including later MeerKAT work; no local SPARC rotmod",MHONGOOSE_early_observations_NGC3621,https://academic.oup.com/mnras/article/482/1/1248/5132879,possible_but_not_clean_THINGS_Table3_completion,may require cross-survey mass-model reconstruction rather than direct SPARC-like rotmod ingestion,score_only_if_public_mass_model_columns_are_recovered_and_conversion_rule_is_frozen,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC3627,NGC 3627,missing_local_sparc_rotmod,no,excluded_no_rotmod,THINGS Table 3 object; no local SPARC rotmod and no recovered compatible mass-model table,de_Blok_etal_2008_THINGS_mass_models,https://arxiv.org/abs/0810.2100,possible_if_THINGS_mass_model_tables_are_recovered,strong interaction/bar system; compatible baryonic decomposition needed before scoring,score_only_if_public_mass_model_columns_are_recovered_and_conversion_rule_is_frozen,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC4736,NGC 4736,missing_local_sparc_rotmod,no,excluded_no_rotmod,"multiple rotation-curve sources exist; THINGS/global-disc comparisons exist, but no local SPARC rotmod",de_Blok_etal_2008_and_other_NGC4736_rotation_curve_literature,https://arxiv.org/abs/0810.2100,possible_but_high_systematics_risk,ringed galaxy with multiple rotation-curve versions; avoid mixing non-SPARC baryonic model without a frozen conversion rule,score_only_if_public_mass_model_columns_are_recovered_and_conversion_rule_is_frozen,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
DDO154,DDO 154,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC5055,NGC 5055,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC6946,NGC 6946,already_resolved,yes,newly_scored_from_rotmod,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC7331,NGC 7331,already_resolved,yes,existing_score_retained,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
NGC7793,NGC 7793,already_resolved,yes,newly_scored_from_rotmod,,,,,,already_in_THINGS_control_readout,things_missing_rotmod_acquisition_audit_no_synthetic_mass_model
