GalaxyName,PublishedName,MedianNonCircularAmplitudeKms,MedianNonCircularAmplitudeInner1KpcKms,NonCircularAmplitudeOverVmaxPercent,PotentialElongationMean,PotentialElongationUncertainty,MedianAbsResidualVelocityAfterHarmonicKms,RmaxArcsec,Source,AllowedUse,InterpretationGuardrail
NGC925,NGC 925,6.300000000,9.450000000,5.500000000,0.000000000,0.046000000,3.000000000,282.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC2366,NGC 2366,2.940000000,1.170000000,5.300000000,0.004000000,0.066000000,2.400000000,252.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC2403,NGC 2403,4.030000000,2.600000000,3.000000000,-0.022000000,0.025000000,2.900000000,950.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC2841,NGC 2841,6.710000000,,2.600000000,-0.001000000,0.014000000,3.500000000,635.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC2903,NGC 2903,6.100000000,13.550000000,3.200000000,0.006000000,0.028000000,2.800000000,602.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC2976,NGC 2976,2.810000000,2.180000000,3.500000000,-0.010000000,0.018000000,2.100000000,147.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC3031,NGC 3031,9.140000000,,4.600000000,0.007000000,0.045000000,3.000000000,840.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC3198,NGC 3198,4.490000000,1.500000000,3.000000000,0.016000000,0.020000000,2.600000000,565.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
IC2574,IC 2574,3.750000000,1.360000000,5.400000000,0.012000000,0.047000000,2.700000000,505.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC3521,NGC 3521,8.800000000,3.120000000,4.200000000,0.017000000,0.019000000,4.500000000,415.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC3621,NGC 3621,3.360000000,5.520000000,2.400000000,0.002000000,0.022000000,2.300000000,600.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC3627,NGC 3627,28.490000000,,14.700000000,-0.024000000,0.071000000,3.600000000,165.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC4736,NGC 4736,10.010000000,8.790000000,8.300000000,-0.055000000,0.149000000,2.500000000,400.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
DDO154,DDO 154,1.610000000,1.430000000,3.400000000,0.024000000,0.033000000,1.200000000,325.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC5055,NGC 5055,4.110000000,8.380000000,2.200000000,-0.003000000,0.025000000,3.100000000,450.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC6946,NGC 6946,7.280000000,,3.600000000,0.004000000,0.069000000,3.400000000,420.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC7331,NGC 7331,5.940000000,,2.600000000,-0.003000000,0.017000000,4.200000000,297.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
NGC7793,NGC 7793,5.080000000,3.410000000,3.900000000,-0.067000000,0.085000000,2.200000000,372.000000000,Trachternach_etal_2008_Table3,published_non_circular_motion_control_only,things_table3_published_control_no_velocity_endpoint
