GalaxyName,Class,WHISP_BurdenScore_v01,WHISP_BurdenSplit,WHISP_BurdenMedianCutoff,WHISP_RadialContrast_outer_minus_inner_v01,WHISP_RadialContrastSplit,WHISP_RadialContrastMedianCutoff,EpsilonKin,W_tau_eff_score_resolved_v01,W_tau_eff_abs_v01,W_tau_eff_signed_v01,ScoreSource,CandidateConfidenceTier,A1_outer_gt_R25,A2_outer_gt_R25,A3_outer_gt_R25,A1_1ltRwlt2,A2_1ltRwlt2,A3_1ltRwlt2,ReadoutUse,InterpretationGuardrail
UGC00731,C,0.053000000,low,0.091850000,0.031666667,high_outer_contrast,0.012833333,0.001,0.563636364,0.210013035,0.210013035,frozen_original_w_tau_eff_seed,medium_candidate,0.052,0.090,0.078,0.051,0.060,0.073,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC02455,C,0.134900000,high,0.091850000,0.102666667,high_outer_contrast,0.012833333,0.107,0.895454545,0.766182963,-0.766182963,frozen_original_w_tau_eff_seed,high_candidate,0.194,0.223,0.121,0.152,0.260,0.062,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC03580,C,0.107900000,high,0.091850000,-0.103666667,low_outer_contrast,0.012833333,0.030,0.531818182,0.207662602,-0.207662602,frozen_original_w_tau_eff_seed,medium_candidate,0.087,0.099,0.062,0.098,0.087,0.057,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC05253,C,0.079800000,low,0.091850000,-0.035666667,low_outer_contrast,0.012833333,0.100,0.222727273,0.013041384,0.013041384,frozen_original_w_tau_eff_seed,low_or_control_candidate,0.051,0.043,0.120,0.094,0.029,0.040,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC05721,B,0.107200000,high,0.091850000,0.011333333,low_outer_contrast,0.012833333,0.062,0.663636364,0.266742093,0.266742093,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,medium_candidate,0.152,0.081,0.105,0.136,0.089,0.143,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC05829,C,0.071300000,low,0.091850000,0.014333333,high_outer_contrast,0.012833333,0.005,0.122727273,0.011351180,0.011351180,frozen_original_w_tau_eff_seed,low_or_control_candidate,0.079,0.061,0.131,0.055,0.058,0.096,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC05918,C,0.118200000,high,0.091850000,0.062333333,high_outer_contrast,0.012833333,0.100,0.359090909,0.090353387,0.090353387,frozen_original_w_tau_eff_seed,low_or_control_candidate,0.080,0.290,0.042,0.092,0.309,0.044,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC06446,C,0.045800000,low,0.091850000,-0.001333333,low_outer_contrast,0.012833333,0.006,0.577272727,0.162087165,0.162087165,frozen_original_w_tau_eff_seed,medium_candidate,0.052,0.064,0.039,0.027,0.067,0.044,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC07323,C,0.111300000,high,0.091850000,0.072333333,high_outer_contrast,0.012833333,0.010,0.654545455,0.135135774,-0.135135774,frozen_original_w_tau_eff_seed,medium_candidate,0.152,0.133,0.202,0.131,0.077,0.138,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC07524,B,0.099500000,high,0.091850000,-0.025000000,low_outer_contrast,0.012833333,0.002,0.159090909,0.001100785,-0.001100785,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,0.121,0.109,0.093,0.102,0.087,0.083,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC07603,C,0.090100000,low,0.091850000,0.022000000,high_outer_contrast,0.012833333,0.064,0.395454545,0.118550725,0.118550725,frozen_original_w_tau_eff_seed,low_or_control_candidate,0.152,0.082,0.046,0.196,0.101,0.046,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC09133,B,0.082800000,low,0.091850000,0.052666667,high_outer_contrast,0.012833333,0.028,0.181818182,0.004885213,0.004885213,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,0.188,0.070,0.073,0.138,0.071,0.087,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC12632,C,0.063500000,low,0.091850000,-0.029333333,low_outer_contrast,0.012833333,0.001,0.231818182,0.048576173,0.048576173,frozen_original_w_tau_eff_seed,low_or_control_candidate,0.068,0.050,0.062,0.068,0.050,0.068,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
UGC12732,B,0.093600000,high,0.091850000,0.000000000,low_outer_contrast,0.012833333,0.036,0.350000000,0.095181835,0.095181835,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,0.089,0.105,0.097,0.106,0.092,0.120,WHISP_full_overlap_original_plus_expanded_W_tau_eff_no_refit,whisp_expanded_readout_no_velocity_endpoint_no_refit
